Wicker_Bianca_AF521177-1	Ty1/copia	Bianca
Wicker_RomaniAT5_At-3	Ty1/copia	Bianca
ATCOPIA31_I	Ty1/copia	Ivana/Oryco
ATCOPIA63_I	Ty1/copia	Ivana/Oryco
ATCOPIA78_I	Ty1/copia	Ivana/Oryco
COP12_I_MT	Ty1/copia	Ivana/Oryco
Copia-11_SB-I	Ty1/copia	Ivana/Oryco
Copia-16_SB-I	Ty1/copia	Ivana/Oryco
Copia-19_SB-I	Ty1/copia	Ivana/Oryco
Copia-20_SB-I	Ty1/copia	Ivana/Oryco
Copia-25_SB-I	Ty1/copia	Ivana/Oryco
Copia-27_SB-I	Ty1/copia	Ivana/Oryco
Copia-28_SB-I	Ty1/copia	Ivana/Oryco
Copia-29_SB-I	Ty1/copia	Ivana/Oryco
Copia-31_SB-I	Ty1/copia	Ivana/Oryco
Copia-33_SB-I	Ty1/copia	Ivana/Oryco
Copia-40_SB-I	Ty1/copia	Ivana/Oryco
Copia-46_SB-I	Ty1/copia	Ivana/Oryco
Copia-48_SB-I	Ty1/copia	Ivana/Oryco
Copia-49_ZM-I	Ty1/copia	Ivana/Oryco
Copia-51_SB-I	Ty1/copia	Ivana/Oryco
Copia-53_ZM-I	Ty1/copia	Ivana/Oryco
Copia-54_ZM-I	Ty1/copia	Ivana/Oryco
Copia-74_SB-I	Ty1/copia	Ivana/Oryco
Copia27-PTR_I	Ty1/copia	Ivana/Oryco
Copia37-PTR_I	Ty1/copia	Ivana/Oryco
Copia4-ZM_I	Ty1/copia	Ivana/Oryco
Copia41-PTR_I	Ty1/copia	Ivana/Oryco
CPSC2_I	Ty1/copia	Ivana/Oryco
CPSC3_I	Ty1/copia	Ivana/Oryco
CPSC4A_I	Ty1/copia	Ivana/Oryco
CPSC4B_I	Ty1/copia	Ivana/Oryco
GmCOPIA11_I	Ty1/copia	Ivana/Oryco
Llorens_Araco_AC079131.4	Ty1/copia	Ivana/Oryco
Llorens_Oryco1-1_AL928755.5	Ty1/copia	Ivana/Oryco
Llorens_Oryco1-2_AL606630.3	Ty1/copia	Ivana/Oryco
Llorens_Poco_AC210386.1	Ty1/copia	Ivana/Oryco
Llorens_Vitico1-1_AM465428.1	Ty1/copia	Ivana/Oryco
POPCOP1_I	Ty1/copia	Ivana/Oryco
SC-4_I	Ty1/copia	Ivana/Oryco
SC-8_I	Ty1/copia	Ivana/Oryco
SHACOP4_I_MT	Ty1/copia	Ivana/Oryco
SHACOP8_I_MT	Ty1/copia	Ivana/Oryco
Wicker_ATCopia78_At_cons	Ty1/copia	Ivana/Oryco
Wicker_HORPIA_AY661558-1	Ty1/copia	Ivana/Oryco
Wicker_HORPIA2_cons	Ty1/copia	Ivana/Oryco
Wicker_Ilona_C_Os_cons	Ty1/copia	Ivana/Oryco
Wicker_Ivana_102J11-1	Ty1/copia	Ivana/Oryco
Wicker_Kalia_Os-105	Ty1/copia	Ivana/Oryco
Wicker_Kasia_102J11-1	Ty1/copia	Ivana/Oryco
Wicker_Osr4_Os_cons	Ty1/copia	Ivana/Oryco
Wicker_rn_112-64_Os-101	Ty1/copia	Ivana/Oryco
Wicker_rn_157-332_Os_103	Ty1/copia	Ivana/Oryco
Wicker_rn_18-313_Os-101	Ty1/copia	Ivana/Oryco
Wicker_rn_228-214_Os_cons	Ty1/copia	Ivana/Oryco
Wicker_rn_374-205_Os-104	Ty1/copia	Ivana/Oryco
Wicker_rn_503-254_Os-103	Ty1/copia	Ivana/Oryco
Wicker_rn_89-81_Os-106	Ty1/copia	Ivana/Oryco
Wicker_SC3_Os_cons	Ty1/copia	Ivana/Oryco
ATCOPIA43I	Ty1/copia	Maximus/SIRE
COPIA3-I_LC	Ty1/copia	Maximus/SIRE
ENDOVIR1_I	Ty1/copia	Maximus/SIRE
SIRE1_INT_	Ty1/copia	Maximus/SIRE
Wicker_ATCopia58_At-101	Ty1/copia	Maximus/SIRE
Wicker_Barbara_A_210J24-3	Ty1/copia	Maximus/SIRE
Wicker_Barbara_B_cons	Ty1/copia	Maximus/SIRE
Wicker_COPIO_Os_cons	Ty1/copia	Maximus/SIRE
Wicker_Echidne_Os_cons	Ty1/copia	Maximus/SIRE
Wicker_Inga_AY661558-2	Ty1/copia	Maximus/SIRE
Wicker_Marcus_Os-1	Ty1/copia	Maximus/SIRE
Wicker_Maximus_cons	Ty1/copia	Maximus/SIRE
Wicker_Osr10_Os_cons	Ty1/copia	Maximus/SIRE
Wicker_Osr8_Os_cons	Ty1/copia	Maximus/SIRE
Wicker_Osr9_Os_cons	Ty1/copia	Maximus/SIRE
Wicker_Usier_11O9-1	Ty1/copia	Maximus/SIRE
Wicker_ATCopia43_At-1	Ty1/copia	Maximus/SIRE
Wicker_Osr8B_Os_cons	Ty1/copia	Maximus/SIRE
ATCOPIA95_I	Ty1/copia	TAR
Copia-38-I_ZM	Ty1/copia	TAR
Copia-39-I_ZM	Ty1/copia	TAR
Copia2_ZM_I	Ty1/copia	TAR
COPIA2-I_OS	Ty1/copia	TAR
Llorens_Fourf_AF391808.3	Ty1/copia	TAR
RIRE5-I_OS	Ty1/copia	TAR
Wicker_ATCopia95_At-1	Ty1/copia	TAR
Wicker_Houba_Os_cons	Ty1/copia	TAR
Wicker_Osr1_Os_cons	Ty1/copia	TAR
Wicker_TAR_C_Os6	Ty1/copia	TAR
Wicker_TAR1_AF459088-1	Ty1/copia	TAR
Wicker_Tara_Os_cons	Ty1/copia	TAR
ZMCOPIA2_I	Ty1/copia	TAR
Wicker_TAR2_AY853252-1	Ty1/copia	TAR
ATCOPIA10_I	Ty1/copia	Tork
ATCOPIA32_I	Ty1/copia	Tork
ATCOPIA49_I	Ty1/copia	Tork
ATCOPIA56_I	Ty1/copia	Tork
ATCOPIA76_I	Ty1/copia	Tork
COPI1_I	Ty1/copia	Tork
COPI2_I	Ty1/copia	Tork
Copia-31-I_VV	Ty1/copia	Tork
COPIA3-I_OS	Ty1/copia	Tork
Copia42-PTR_I	Ty1/copia	Tork
Llorens_RTvr2_AY900122.1	Ty1/copia	Tork
Llorens_Tork4_EU105455.1	Ty1/copia	Tork
Llorens_V12_EU009618.1	Ty1/copia	Tork
SHACOP15_I_MT	Ty1/copia	Tork
TLC1_I	Ty1/copia	Tork
TNT1_I	Ty1/copia	Tork
TTO1_NT_I	Ty1/copia	Tork
Wicker_Leojyg_AY268139-1	Ty1/copia	unclass(Ale)
Wicker_rn_78-53_Os-102	Ty1/copia	unclass(Ale)
Llorens_Vitico1-2_AM462010.2	Ty1/copia	unclass(AleI/Retrofit)
HOBS_I	Ty1/copia	unclass(Tork)
Athila_AB005248.1	Ty3/gypsy	Athila
Athila_AF296831.1	Ty3/gypsy	Athila
BAGY2	Ty3/gypsy	Athila
Calypso	Ty3/gypsy	Athila
Cyclops	Ty3/gypsy	Athila
MEGY	Ty3/gypsy	Athila
PIGY-1	Ty3/gypsy	Athila
AraT_ID257	Ty3/gypsy	chromovirus
Beetle1_ID7	Ty3/gypsy	chromovirus
Beetle2_ID78	Ty3/gypsy	chromovirus
Bilby_ID66	Ty3/gypsy	chromovirus
BraR_ID236	Ty3/gypsy	chromovirus
BraR1_ID113	Ty3/gypsy	chromovirus
BraR2_ID120	Ty3/gypsy	chromovirus
BraR3_ID114	Ty3/gypsy	chromovirus
BraR4_ID118	Ty3/gypsy	chromovirus
